Dates,Top 10 Gross,%± LW,Overall Gross,%± LW1,Releases,#1 Release,Genre,Week Url,Long Weekend,Country,Formatted_Date,Month,Year,OMDB_Runtime,OMDB_Genre,OMDB_imdbID,OMDB_Budget
Mar 13-16,138295.0,0.7,161749.0,0.593,21,10 Lives,"Animation, Comedy, Family",https://www.boxofficemojo.com/weekend/2025W11/?area=SI&ref_=bo_wey_table_12,False,Slovenia,2025-03-13,March,2025.0,88 min,"Animation, Comedy, Family",tt7959138,N/A
Feb 27-Mar 2,143827.0,-0.263,164114.0,-0.224,22,10 Lives,"Animation, Comedy, Family",https://www.boxofficemojo.com/weekend/2025W09/?area=SI&ref_=bo_wey_table_14,False,Slovenia,,,,88 min,"Animation, Comedy, Family",tt7959138,N/A
Mar 1-2,7184135.0,-0.297,7930330.0,-0.245,18,1st Kiss,Romance,https://www.boxofficemojo.com/weekend/2025W09/?area=JP&ref_=bo_wey_table_14,False,Japan,2025-03-01,March,2025.0,N/A,Romance,tt33509780,N/A
Jan 24-26,328042.0,-0.441,353956.0,-0.445,22,404 Run Run,"Comedy, Horror",https://www.boxofficemojo.com/weekend/2025W04/?area=VN&ref_=bo_wey_table_18,False,Vietnam,2025-01-24,January,2025.0,N/A,"Comedy, Horror",tt32362537,N/A
Jan 17-19,586571.0,-0.427,637684.0,-0.429,24,404 Run Run,"Comedy, Horror",https://www.boxofficemojo.com/weekend/2025W03/?area=VN&ref_=bo_wey_table_19,False,Vietnam,2025-01-17,January,2025.0,N/A,"Comedy, Horror",tt32362537,N/A
Jan 10-12,1023872.0,-0.191,1117224.0,-0.139,21,404 Run Run,"Comedy, Horror",https://www.boxofficemojo.com/weekend/2025W02/?area=VN&ref_=bo_wey_table_20,False,Vietnam,2025-01-10,January,2025.0,N/A,"Comedy, Horror",tt32362537,N/A
Jan 3-5,1265405.0,-0.378,1297354.0,-0.366,23,404 Run Run,"Comedy, Horror",https://www.boxofficemojo.com/weekend/2025W01/?area=VN&ref_=bo_wey_table_21,False,Vietnam,2025-01-03,January,2025.0,N/A,"Comedy, Horror",tt32362537,N/A
Jan 31-Feb 2,7555281.0,-0.168,10070826.0,-0.068,48,A Complete Unknown,"Biography, Drama, Music",https://www.boxofficemojo.com/weekend/2025W05/?area=GB&ref_=bo_wey_table_18,False,United Kingdom,,,,141 min,"Biography, Drama, Music",tt11563598,"$74,998,243"
Jan 24-26,9076692.0,-0.268,10805367.0,-0.248,47,A Complete Unknown,"Biography, Drama, Music",https://www.boxofficemojo.com/weekend/2025W04/?area=GB&ref_=bo_wey_table_19,False,United Kingdom,2025-01-24,January,2025.0,141 min,"Biography, Drama, Music",tt11563598,"$74,998,243"
Jan 17-19,12404264.0,-0.153,14363407.0,-0.118,49,A Complete Unknown,"Biography, Drama, Music",https://www.boxofficemojo.com/weekend/2025W03/?area=GB&ref_=bo_wey_table_20,False,United Kingdom,2025-01-17,January,2025.0,141 min,"Biography, Drama, Music",tt11563598,"$74,998,243"
Feb 7-9,283431.0,-0.096,285645.0,-0.092,13,A Complete Unknown,"Biography, Drama, Music",https://www.boxofficemojo.com/weekend/2025W06/?area=FI&ref_=bo_wey_table_17,False,Finland,2025-02-07,February,2025.0,141 min,"Biography, Drama, Music",tt11563598,"$74,998,243"
Jan 29-Feb 2,7781586.0,-0.064,11231013.0,-0.046,33,A Complete Unknown,"Biography, Drama, Music",https://www.boxofficemojo.com/weekend/2025W05/?area=FR&ref_=bo_wey_table_18,False,France,,,,141 min,"Biography, Drama, Music",tt11563598,"$74,998,243"
Feb 28-Mar 2,4104102.0,0.066,5018835.0,0.081,71,A Complete Unknown,"Biography, Drama, Music",https://www.boxofficemojo.com/weekend/2025W09/?area=ES&ref_=bo_wey_table_14,False,Spain,,,,141 min,"Biography, Drama, Music",tt11563598,"$74,998,243"
