Rank,%± LW,Overall Gross,%± LW1,Releases,#1 Release,Long Weekend,Country,Formatted_Date,Month,Year,Runtime,Genre,IMDb_ID,Budget
138295,0.7,161749,0.593,21,10 Lives,FALSE,Slovenia,13-03-2025,March,2025,88,Animation,tt7959138,254567693
138295,0.7,161749,0.593,21,10 Lives,FALSE,Slovenia,13-03-2025,March,2025,88,Comedy,tt7959138,236115100
138295,0.7,161749,0.593,21,10 Lives,FALSE,Slovenia,13-03-2025,March,2025,88,Family,tt7959138,86656856
7184135,-0.297,7930330,-0.245,18,1st Kiss,FALSE,Japan,01-03-2025,March,2025,124,Romance,tt33509780,21474035
328042,-0.441,353956,-0.445,22,404 Run Run,FALSE,Vietnam,24-01-2025,January,2025,101,Comedy,tt32362537,236115100
328042,-0.441,353956,-0.445,22,404 Run Run,FALSE,Vietnam,24-01-2025,January,2025,110,Horror,tt32362537,74346140
586571,-0.427,637684,-0.429,24,404 Run Run,FALSE,Vietnam,17-01-2025,January,2025,101,Comedy,tt32362537,236115100
586571,-0.427,637684,-0.429,24,404 Run Run,FALSE,Vietnam,17-01-2025,January,2025,110,Horror,tt32362537,74346140
1023872,-0.191,1117224,-0.139,21,404 Run Run,FALSE,Vietnam,10-01-2025,January,2025,101,Comedy,tt32362537,236115100
1023872,-0.191,1117224,-0.139,21,404 Run Run,FALSE,Vietnam,10-01-2025,January,2025,110,Horror,tt32362537,74346140
1265405,-0.378,1297354,-0.366,23,404 Run Run,FALSE,Vietnam,03-01-2025,January,2025,101,Comedy,tt32362537,236115100
1265405,-0.378,1297354,-0.366,23,404 Run Run,FALSE,Vietnam,03-01-2025,January,2025,110,Horror,tt32362537,74346140
9076692,-0.268,10805367,-0.248,47,A Complete Unknown,FALSE,United Kingdom,24-01-2025,January,2025,141,Biography,tt11563598,74998243
9076692,-0.268,10805367,-0.248,47,A Complete Unknown,FALSE,United Kingdom,24-01-2025,January,2025,141,Drama,tt11563598,74998243
9076692,-0.268,10805367,-0.248,47,A Complete Unknown,FALSE,United Kingdom,24-01-2025,January,2025,141,Music,tt11563598,74998243
12404264,-0.153,14363407,-0.118,49,A Complete Unknown,FALSE,United Kingdom,17-01-2025,January,2025,141,Biography,tt11563598,74998243
12404264,-0.153,14363407,-0.118,49,A Complete Unknown,FALSE,United Kingdom,17-01-2025,January,2025,141,Drama,tt11563598,74998243
12404264,-0.153,14363407,-0.118,49,A Complete Unknown,FALSE,United Kingdom,17-01-2025,January,2025,141,Music,tt11563598,74998243
