Dates,Dates Url,Top 10 Gross,%± LW,Overall Gross,%± LW1,Releases,#1 Release,#1 Release Url,Genre,Budget,Running Time,Week,Week Url,Long Weekend,Country
Nov 10-12,https://www.boxofficemojo.com/weekend/2023W45/?area=CA&ref_=bo_wey_table_1,-,-,-,-,-,-,,-,-,-,45,https://www.boxofficemojo.com/weekend/2023W45/?area=CA&ref_=bo_wey_table_1,FALSE,Canada
Nov 3-5,https://www.boxofficemojo.com/weekend/2023W44/?area=CA&ref_=bo_wey_table_2,-,-,-,-,-,-,,-,-,-,44,https://www.boxofficemojo.com/weekend/2023W44/?area=CA&ref_=bo_wey_table_2,FALSE,Canada
Nov 10-12,https://www.boxofficemojo.com/weekend/2023W45/?area=CA&ref_=bo_wey_table_1,-,-,-,-,-,-,,-,-,-,45,https://www.boxofficemojo.com/weekend/2023W45/?area=CA&ref_=bo_wey_table_1,FALSE,Canada
Nov 3-5,https://www.boxofficemojo.com/weekend/2023W44/?area=CA&ref_=bo_wey_table_2,-,-,-,-,-,-,,-,-,-,44,https://www.boxofficemojo.com/weekend/2023W44/?area=CA&ref_=bo_wey_table_2,FALSE,Canada
Nov 10-12,https://www.boxofficemojo.com/weekend/2023W45/?area=CA&ref_=bo_wey_table_1,-,-,-,-,-,-,,-,-,-,45,https://www.boxofficemojo.com/weekend/2023W45/?area=CA&ref_=bo_wey_table_1,FALSE,Canada
Nov 3-5,https://www.boxofficemojo.com/weekend/2023W44/?area=CA&ref_=bo_wey_table_2,-,-,-,-,-,-,,-,-,-,44,https://www.boxofficemojo.com/weekend/2023W44/?area=CA&ref_=bo_wey_table_2,FALSE,Canada
May 3-5,https://www.boxofficemojo.com/weekend/2024W18/?area=IE&ref_=bo_wey_table_1,-,-,-,-,-,-,,-,-,-,18,https://www.boxofficemojo.com/weekend/2024W18/?area=IE&ref_=bo_wey_table_1,FALSE,Ireland
May 23-25,https://www.boxofficemojo.com/weekend/2025W21/?area=VE&ref_=bo_wey_table_2,-,-,-,-,-,-,,-,-,-,21,https://www.boxofficemojo.com/weekend/2025W21/?area=VE&ref_=bo_wey_table_2,FALSE,Venezuela
May 16-18,https://www.boxofficemojo.com/weekend/2025W20/?area=VE&ref_=bo_wey_table_3,-,-,-,-,-,-,,-,-,-,20,https://www.boxofficemojo.com/weekend/2025W20/?area=VE&ref_=bo_wey_table_3,FALSE,Venezuela
May 9-11,https://www.boxofficemojo.com/weekend/2025W19/?area=VE&ref_=bo_wey_table_4,-,-,-,-,-,-,,-,-,-,19,https://www.boxofficemojo.com/weekend/2025W19/?area=VE&ref_=bo_wey_table_4,FALSE,Venezuela
